sdg,month,count
SDG10_Reduced_Inequalities,2024-01,95
SDG10_Reduced_Inequalities,2024-02,71
SDG10_Reduced_Inequalities,2024-03,92
SDG10_Reduced_Inequalities,2024-04,72
SDG10_Reduced_Inequalities,2024-05,68
SDG10_Reduced_Inequalities,2024-06,98
SDG10_Reduced_Inequalities,2024-07,57
SDG10_Reduced_Inequalities,2024-08,109
SDG10_Reduced_Inequalities,2024-09,83
SDG10_Reduced_Inequalities,2024-10,96
SDG10_Reduced_Inequalities,2024-11,106
SDG10_Reduced_Inequalities,2024-12,36
SDG10_Reduced_Inequalities,2025-01,130
SDG10_Reduced_Inequalities,2025-02,66
SDG10_Reduced_Inequalities,2025-03,55
SDG10_Reduced_Inequalities,2025-04,85
SDG10_Reduced_Inequalities,2025-05,69
SDG10_Reduced_Inequalities,2025-06,63
SDG10_Reduced_Inequalities,2025-07,64
SDG10_Reduced_Inequalities,2025-08,63
SDG10_Reduced_Inequalities,2025-09,59
SDG10_Reduced_Inequalities,2025-10,65
SDG10_Reduced_Inequalities,2025-11,71
SDG10_Reduced_Inequalities,2025-12,62
SDG11_Sustainable_Cities,2024-01,152
SDG11_Sustainable_Cities,2024-02,126
SDG11_Sustainable_Cities,2024-03,156
SDG11_Sustainable_Cities,2024-04,187
SDG11_Sustainable_Cities,2024-05,140
SDG11_Sustainable_Cities,2024-06,154
SDG11_Sustainable_Cities,2024-07,150
SDG11_Sustainable_Cities,2024-08,134
SDG11_Sustainable_Cities,2024-09,135
SDG11_Sustainable_Cities,2024-10,186
SDG11_Sustainable_Cities,2024-11,149
SDG11_Sustainable_Cities,2024-12,191
SDG11_Sustainable_Cities,2025-01,151
SDG11_Sustainable_Cities,2025-02,165
SDG11_Sustainable_Cities,2025-03,161
SDG11_Sustainable_Cities,2025-04,171
SDG11_Sustainable_Cities,2025-05,155
SDG11_Sustainable_Cities,2025-06,107
SDG11_Sustainable_Cities,2025-07,150
SDG11_Sustainable_Cities,2025-08,165
SDG11_Sustainable_Cities,2025-09,140
SDG11_Sustainable_Cities,2025-10,146
SDG11_Sustainable_Cities,2025-11,140
SDG11_Sustainable_Cities,2025-12,121
SDG12_Responsible_Consumption,2024-01,79
SDG12_Responsible_Consumption,2024-02,35
SDG12_Responsible_Consumption,2024-03,60
SDG12_Responsible_Consumption,2024-04,47
SDG12_Responsible_Consumption,2024-05,36
SDG12_Responsible_Consumption,2024-06,45
SDG12_Responsible_Consumption,2024-07,59
SDG12_Responsible_Consumption,2024-08,45
SDG12_Responsible_Consumption,2024-09,53
SDG12_Responsible_Consumption,2024-10,66
SDG12_Responsible_Consumption,2024-11,39
SDG12_Responsible_Consumption,2024-12,36
SDG12_Responsible_Consumption,2025-01,43
SDG12_Responsible_Consumption,2025-02,37
SDG12_Responsible_Consumption,2025-03,72
SDG12_Responsible_Consumption,2025-04,66
SDG12_Responsible_Consumption,2025-05,63
SDG12_Responsible_Consumption,2025-06,28
SDG12_Responsible_Consumption,2025-07,53
SDG12_Responsible_Consumption,2025-08,48
SDG12_Responsible_Consumption,2025-09,30
SDG12_Responsible_Consumption,2025-10,56
SDG12_Responsible_Consumption,2025-11,39
SDG12_Responsible_Consumption,2025-12,40
SDG13_Climate_Action,2024-01,343
SDG13_Climate_Action,2024-02,232
SDG13_Climate_Action,2024-03,360
SDG13_Climate_Action,2024-04,355
SDG13_Climate_Action,2024-05,372
SDG13_Climate_Action,2024-06,328
SDG13_Climate_Action,2024-07,322
SDG13_Climate_Action,2024-08,320
SDG13_Climate_Action,2024-09,265
SDG13_Climate_Action,2024-10,335
SDG13_Climate_Action,2024-11,298
SDG13_Climate_Action,2024-12,286
SDG13_Climate_Action,2025-01,308
SDG13_Climate_Action,2025-02,189
SDG13_Climate_Action,2025-03,228
SDG13_Climate_Action,2025-04,170
SDG13_Climate_Action,2025-05,202
SDG13_Climate_Action,2025-06,71
SDG13_Climate_Action,2025-07,304
SDG13_Climate_Action,2025-08,226
SDG13_Climate_Action,2025-09,186
SDG13_Climate_Action,2025-10,195
SDG13_Climate_Action,2025-11,266
SDG13_Climate_Action,2025-12,175
SDG14_Life_Below_Water,2024-01,62
SDG14_Life_Below_Water,2024-02,63
SDG14_Life_Below_Water,2024-03,72
SDG14_Life_Below_Water,2024-04,101
SDG14_Life_Below_Water,2024-05,101
SDG14_Life_Below_Water,2024-06,108
SDG14_Life_Below_Water,2024-07,73
SDG14_Life_Below_Water,2024-08,77
SDG14_Life_Below_Water,2024-09,94
SDG14_Life_Below_Water,2024-10,90
SDG14_Life_Below_Water,2024-11,91
SDG14_Life_Below_Water,2024-12,69
SDG14_Life_Below_Water,2025-01,54
SDG14_Life_Below_Water,2025-02,75
SDG14_Life_Below_Water,2025-03,87
SDG14_Life_Below_Water,2025-04,55
SDG14_Life_Below_Water,2025-05,94
SDG14_Life_Below_Water,2025-06,197
SDG14_Life_Below_Water,2025-07,61
SDG14_Life_Below_Water,2025-08,95
SDG14_Life_Below_Water,2025-09,86
SDG14_Life_Below_Water,2025-10,59
SDG14_Life_Below_Water,2025-11,75
SDG14_Life_Below_Water,2025-12,45
SDG15_Life_On_Land,2024-01,156
SDG15_Life_On_Land,2024-02,116
SDG15_Life_On_Land,2024-03,188
SDG15_Life_On_Land,2024-04,185
SDG15_Life_On_Land,2024-05,220
SDG15_Life_On_Land,2024-06,164
SDG15_Life_On_Land,2024-07,152
SDG15_Life_On_Land,2024-08,195
SDG15_Life_On_Land,2024-09,199
SDG15_Life_On_Land,2024-10,276
SDG15_Life_On_Land,2024-11,155
SDG15_Life_On_Land,2024-12,176
SDG15_Life_On_Land,2025-01,113
SDG15_Life_On_Land,2025-02,113
SDG15_Life_On_Land,2025-03,199
SDG15_Life_On_Land,2025-04,178
SDG15_Life_On_Land,2025-05,165
SDG15_Life_On_Land,2025-06,87
SDG15_Life_On_Land,2025-07,136
SDG15_Life_On_Land,2025-08,178
SDG15_Life_On_Land,2025-09,134
SDG15_Life_On_Land,2025-10,175
SDG15_Life_On_Land,2025-11,175
SDG15_Life_On_Land,2025-12,149
SDG16_Peace_Justice,2024-01,101
SDG16_Peace_Justice,2024-02,72
SDG16_Peace_Justice,2024-03,78
SDG16_Peace_Justice,2024-04,59
SDG16_Peace_Justice,2024-05,80
SDG16_Peace_Justice,2024-06,65
SDG16_Peace_Justice,2024-07,62
SDG16_Peace_Justice,2024-08,107
SDG16_Peace_Justice,2024-09,121
SDG16_Peace_Justice,2024-10,92
SDG16_Peace_Justice,2024-11,105
SDG16_Peace_Justice,2024-12,70
SDG16_Peace_Justice,2025-01,75
SDG16_Peace_Justice,2025-02,89
SDG16_Peace_Justice,2025-03,106
SDG16_Peace_Justice,2025-04,82
SDG16_Peace_Justice,2025-05,127
SDG16_Peace_Justice,2025-06,35
SDG16_Peace_Justice,2025-07,90
SDG16_Peace_Justice,2025-08,54
SDG16_Peace_Justice,2025-09,75
SDG16_Peace_Justice,2025-10,74
SDG16_Peace_Justice,2025-11,98
SDG16_Peace_Justice,2025-12,85
SDG17_Partnerships,2024-01,4374
SDG17_Partnerships,2024-02,3451
SDG17_Partnerships,2024-03,4581
SDG17_Partnerships,2024-04,4600
SDG17_Partnerships,2024-05,4703
SDG17_Partnerships,2024-06,4718
SDG17_Partnerships,2024-07,4787
SDG17_Partnerships,2024-08,4721
SDG17_Partnerships,2024-09,4590
SDG17_Partnerships,2024-10,4797
SDG17_Partnerships,2024-11,4792
SDG17_Partnerships,2024-12,4715
SDG17_Partnerships,2025-01,4566
SDG17_Partnerships,2025-02,4303
SDG17_Partnerships,2025-03,4872
SDG17_Partnerships,2025-04,4963
SDG17_Partnerships,2025-05,4760
SDG17_Partnerships,2025-06,2398
SDG17_Partnerships,2025-07,4861
SDG17_Partnerships,2025-08,4468
SDG17_Partnerships,2025-09,4086
SDG17_Partnerships,2025-10,5073
SDG17_Partnerships,2025-11,4783
SDG17_Partnerships,2025-12,4319
SDG1_No_Poverty,2024-01,226
SDG1_No_Poverty,2024-02,208
SDG1_No_Poverty,2024-03,234
SDG1_No_Poverty,2024-04,212
SDG1_No_Poverty,2024-05,215
SDG1_No_Poverty,2024-06,210
SDG1_No_Poverty,2024-07,265
SDG1_No_Poverty,2024-08,213
SDG1_No_Poverty,2024-09,212
SDG1_No_Poverty,2024-10,267
SDG1_No_Poverty,2024-11,213
SDG1_No_Poverty,2024-12,173
SDG1_No_Poverty,2025-01,193
SDG1_No_Poverty,2025-02,140
SDG1_No_Poverty,2025-03,199
SDG1_No_Poverty,2025-04,165
SDG1_No_Poverty,2025-05,159
SDG1_No_Poverty,2025-06,84
SDG1_No_Poverty,2025-07,182
SDG1_No_Poverty,2025-08,173
SDG1_No_Poverty,2025-09,136
SDG1_No_Poverty,2025-10,204
SDG1_No_Poverty,2025-11,162
SDG1_No_Poverty,2025-12,251
SDG2_Zero_Hunger,2024-01,27
SDG2_Zero_Hunger,2024-02,38
SDG2_Zero_Hunger,2024-03,63
SDG2_Zero_Hunger,2024-04,31
SDG2_Zero_Hunger,2024-05,42
SDG2_Zero_Hunger,2024-06,44
SDG2_Zero_Hunger,2024-07,59
SDG2_Zero_Hunger,2024-08,45
SDG2_Zero_Hunger,2024-09,61
SDG2_Zero_Hunger,2024-10,59
SDG2_Zero_Hunger,2024-11,69
SDG2_Zero_Hunger,2024-12,53
SDG2_Zero_Hunger,2025-01,21
SDG2_Zero_Hunger,2025-02,33
SDG2_Zero_Hunger,2025-03,31
SDG2_Zero_Hunger,2025-04,22
SDG2_Zero_Hunger,2025-05,26
SDG2_Zero_Hunger,2025-06,17
SDG2_Zero_Hunger,2025-07,43
SDG2_Zero_Hunger,2025-08,56
SDG2_Zero_Hunger,2025-09,30
SDG2_Zero_Hunger,2025-10,56
SDG2_Zero_Hunger,2025-11,37
SDG2_Zero_Hunger,2025-12,24
SDG3_Good_Health,2024-01,928
SDG3_Good_Health,2024-02,610
SDG3_Good_Health,2024-03,772
SDG3_Good_Health,2024-04,710
SDG3_Good_Health,2024-05,717
SDG3_Good_Health,2024-06,693
SDG3_Good_Health,2024-07,612
SDG3_Good_Health,2024-08,894
SDG3_Good_Health,2024-09,719
SDG3_Good_Health,2024-10,633
SDG3_Good_Health,2024-11,653
SDG3_Good_Health,2024-12,703
SDG3_Good_Health,2025-01,704
SDG3_Good_Health,2025-02,707
SDG3_Good_Health,2025-03,970
SDG3_Good_Health,2025-04,914
SDG3_Good_Health,2025-05,952
SDG3_Good_Health,2025-06,413
SDG3_Good_Health,2025-07,859
SDG3_Good_Health,2025-08,853
SDG3_Good_Health,2025-09,855
SDG3_Good_Health,2025-10,761
SDG3_Good_Health,2025-11,711
SDG3_Good_Health,2025-12,845
SDG4_Quality_Education,2024-01,231
SDG4_Quality_Education,2024-02,260
SDG4_Quality_Education,2024-03,262
SDG4_Quality_Education,2024-04,263
SDG4_Quality_Education,2024-05,289
SDG4_Quality_Education,2024-06,218
SDG4_Quality_Education,2024-07,211
SDG4_Quality_Education,2024-08,309
SDG4_Quality_Education,2024-09,343
SDG4_Quality_Education,2024-10,263
SDG4_Quality_Education,2024-11,174
SDG4_Quality_Education,2024-12,227
SDG4_Quality_Education,2025-01,223
SDG4_Quality_Education,2025-02,258
SDG4_Quality_Education,2025-03,326
SDG4_Quality_Education,2025-04,260
SDG4_Quality_Education,2025-05,233
SDG4_Quality_Education,2025-06,165
SDG4_Quality_Education,2025-07,210
SDG4_Quality_Education,2025-08,234
SDG4_Quality_Education,2025-09,230
SDG4_Quality_Education,2025-10,246
SDG4_Quality_Education,2025-11,215
SDG4_Quality_Education,2025-12,185
SDG5_Gender_Equality,2024-01,142
SDG5_Gender_Equality,2024-02,108
SDG5_Gender_Equality,2024-03,342
SDG5_Gender_Equality,2024-04,206
SDG5_Gender_Equality,2024-05,228
SDG5_Gender_Equality,2024-06,127
SDG5_Gender_Equality,2024-07,107
SDG5_Gender_Equality,2024-08,187
SDG5_Gender_Equality,2024-09,140
SDG5_Gender_Equality,2024-10,153
SDG5_Gender_Equality,2024-11,177
SDG5_Gender_Equality,2024-12,216
SDG5_Gender_Equality,2025-01,206
SDG5_Gender_Equality,2025-02,131
SDG5_Gender_Equality,2025-03,306
SDG5_Gender_Equality,2025-04,147
SDG5_Gender_Equality,2025-05,160
SDG5_Gender_Equality,2025-06,49
SDG5_Gender_Equality,2025-07,168
SDG5_Gender_Equality,2025-08,141
SDG5_Gender_Equality,2025-09,110
SDG5_Gender_Equality,2025-10,183
SDG5_Gender_Equality,2025-11,196
SDG5_Gender_Equality,2025-12,122
SDG6_Clean_Water,2024-01,165
SDG6_Clean_Water,2024-02,120
SDG6_Clean_Water,2024-03,220
SDG6_Clean_Water,2024-04,186
SDG6_Clean_Water,2024-05,190
SDG6_Clean_Water,2024-06,194
SDG6_Clean_Water,2024-07,164
SDG6_Clean_Water,2024-08,240
SDG6_Clean_Water,2024-09,165
SDG6_Clean_Water,2024-10,205
SDG6_Clean_Water,2024-11,172
SDG6_Clean_Water,2024-12,172
SDG6_Clean_Water,2025-01,203
SDG6_Clean_Water,2025-02,159
SDG6_Clean_Water,2025-03,241
SDG6_Clean_Water,2025-04,203
SDG6_Clean_Water,2025-05,172
SDG6_Clean_Water,2025-06,96
SDG6_Clean_Water,2025-07,268
SDG6_Clean_Water,2025-08,199
SDG6_Clean_Water,2025-09,142
SDG6_Clean_Water,2025-10,130
SDG6_Clean_Water,2025-11,127
SDG6_Clean_Water,2025-12,148
SDG7_Clean_Energy,2024-01,247
SDG7_Clean_Energy,2024-02,271
SDG7_Clean_Energy,2024-03,279
SDG7_Clean_Energy,2024-04,355
SDG7_Clean_Energy,2024-05,251
SDG7_Clean_Energy,2024-06,340
SDG7_Clean_Energy,2024-07,325
SDG7_Clean_Energy,2024-08,393
SDG7_Clean_Energy,2024-09,283
SDG7_Clean_Energy,2024-10,265
SDG7_Clean_Energy,2024-11,245
SDG7_Clean_Energy,2024-12,260
SDG7_Clean_Energy,2025-01,251
SDG7_Clean_Energy,2025-02,256
SDG7_Clean_Energy,2025-03,235
SDG7_Clean_Energy,2025-04,300
SDG7_Clean_Energy,2025-05,261
SDG7_Clean_Energy,2025-06,104
SDG7_Clean_Energy,2025-07,295
SDG7_Clean_Energy,2025-08,316
SDG7_Clean_Energy,2025-09,217
SDG7_Clean_Energy,2025-10,364
SDG7_Clean_Energy,2025-11,170
SDG7_Clean_Energy,2025-12,233
SDG8_Decent_Work,2024-01,233
SDG8_Decent_Work,2024-02,148
SDG8_Decent_Work,2024-03,170
SDG8_Decent_Work,2024-04,227
SDG8_Decent_Work,2024-05,259
SDG8_Decent_Work,2024-06,201
SDG8_Decent_Work,2024-07,221
SDG8_Decent_Work,2024-08,227
SDG8_Decent_Work,2024-09,201
SDG8_Decent_Work,2024-10,193
SDG8_Decent_Work,2024-11,148
SDG8_Decent_Work,2024-12,203
SDG8_Decent_Work,2025-01,179
SDG8_Decent_Work,2025-02,180
SDG8_Decent_Work,2025-03,239
SDG8_Decent_Work,2025-04,196
SDG8_Decent_Work,2025-05,181
SDG8_Decent_Work,2025-06,77
SDG8_Decent_Work,2025-07,153
SDG8_Decent_Work,2025-08,176
SDG8_Decent_Work,2025-09,133
SDG8_Decent_Work,2025-10,200
SDG8_Decent_Work,2025-11,213
SDG8_Decent_Work,2025-12,199
SDG9_Industry_Innovation,2024-01,222
SDG9_Industry_Innovation,2024-02,125
SDG9_Industry_Innovation,2024-03,232
SDG9_Industry_Innovation,2024-04,178
SDG9_Industry_Innovation,2024-05,196
SDG9_Industry_Innovation,2024-06,182
SDG9_Industry_Innovation,2024-07,186
SDG9_Industry_Innovation,2024-08,224
SDG9_Industry_Innovation,2024-09,215
SDG9_Industry_Innovation,2024-10,209
SDG9_Industry_Innovation,2024-11,219
SDG9_Industry_Innovation,2024-12,181
SDG9_Industry_Innovation,2025-01,203
SDG9_Industry_Innovation,2025-02,143
SDG9_Industry_Innovation,2025-03,193
SDG9_Industry_Innovation,2025-04,174
SDG9_Industry_Innovation,2025-05,158
SDG9_Industry_Innovation,2025-06,77
SDG9_Industry_Innovation,2025-07,188
SDG9_Industry_Innovation,2025-08,169
SDG9_Industry_Innovation,2025-09,136
SDG9_Industry_Innovation,2025-10,191
SDG9_Industry_Innovation,2025-11,184
SDG9_Industry_Innovation,2025-12,193
